date,storage,inflow,outflow,evaporation,elevation,,,,,,,
1/1/65,NA,1826.434,2293.661,NA,NA,,10/6/96,11.013,3100.69,2565.219,NA,NA
1/2/65,NA,1945.364,2321.978,NA,NA,,,,,,,
1/3/65,NA,1707.503,2293.661,NA,NA,,,,,,,
1/4/65,NA,1752.81,2364.453,NA,NA,,,,,,,
1/5/65,NA,1934.037,2330.473,NA,NA,,,,,,,
1/6/65,NA,1953.859,1962.354,NA,NA,,,,,,,
1/7/65,NA,1931.206,1953.859,NA,NA,,,,,,,
1/8/65,NA,1724.493,2075.621,NA,NA,,,,,,,
1/9/65,NA,1758.473,2293.661,NA,NA,,,,,,,
1/10/65,NA,1758.473,2282.334,NA,NA,,,,,,,
1/11/65,NA,1803.78,2296.492,NA,NA,,,,,,,
1/12/65,NA,1682.018,2307.819,NA,NA,,,,,,,
1/13/65,NA,1758.473,2338.968,NA,NA,,,,,,,
1/14/65,NA,1699.008,2313.483,NA,NA,,,,,,,
1/15/65,NA,1823.602,2421.086,NA,NA,,,,,,,
1/16/65,NA,1812.275,2149.245,NA,NA,,,,,,,
1/17/65,NA,1775.463,2120.928,NA,NA,,,,,,,
1/18/65,NA,1789.622,2287.997,NA,NA,,,,,,,
1/19/65,NA,1699.008,2126.592,NA,NA,,,,,,,
1/20/65,NA,1568.751,2135.087,NA,NA,,,,,,,
1/21/65,NA,1625.384,1979.344,NA,NA,,,,,,,
1/22/65,NA,1662.196,2304.988,NA,NA,,,,,,,
1/23/65,NA,1854.75,1846.255,NA,NA,,,,,,,
1/24/65,NA,1687.681,1973.681,NA,NA,,,,,,,
1/25/65,NA,1721.661,2109.602,NA,NA,,,,,,,
1/26/65,NA,1724.493,2115.265,NA,NA,,,,,,,
1/27/65,NA,1707.503,2279.502,NA,NA,,,,,,,
1/28/65,NA,1817.939,1755.642,NA,NA,,,,,,,
1/29/65,NA,1849.087,1404.513,NA,NA,,,,,,,
1/30/65,NA,1857.582,1279.919,NA,NA,,,,,,,
1/31/65,NA,2160.572,1296.909,NA,NA,,,,,,,
2/1/65,NA,1959.523,1749.978,NA,NA,,,,,,,
2/2/65,NA,1993.503,2171.899,NA,NA,,,,,,,
2/3/65,NA,2044.473,2528.69,NA,NA,,,,,,,
2/4/65,NA,1990.671,2514.532,NA,NA,,,,,,,
2/5/65,NA,2086.948,2944.947,NA,NA,,,,,,,
2/6/65,NA,2188.889,2976.096,NA,NA,,,,,,,
2/7/65,NA,2174.73,2984.591,NA,NA,,,,,,,
2/8/65,NA,2061.463,2987.422,NA,NA,,,,,,,
2/9/65,NA,2231.364,3103.521,NA,NA,,,,,,,
2/10/65,NA,2214.374,3245.105,NA,NA,,,,,,,
2/11/65,NA,2129.423,3276.254,NA,NA,,,,,,,
2/12/65,NA,2259.681,3290.412,NA,NA,,,,,,,
2/13/65,NA,2078.453,3131.838,NA,NA,,,,,,,
2/14/65,NA,2018.988,2712.749,NA,NA,,,,,,,
2/15/65,NA,1990.671,3097.858,NA,NA,,,,,,,
2/16/65,NA,1948.196,2990.254,NA,NA,,,,,,,
2/17/65,NA,1993.503,2758.056,NA,NA,,,,,,,
2/18/65,NA,2112.433,2661.779,NA,NA,,,,,,,
2/19/65,NA,2047.305,2653.284,NA,NA,,,,,,,
2/20/65,NA,2152.077,2650.452,NA,NA,,,,,,,
2/21/65,NA,2021.82,2653.284,NA,NA,,,,,,,
2/22/65,NA,2180.394,2639.126,NA,NA,,,,,,,
2/23/65,NA,2180.394,2823.185,NA,NA,,,,,,,
2/24/65,NA,2217.205,2964.769,NA,NA,,,,,,,
2/25/65,NA,2052.968,2942.116,NA,NA,,,,,,,
2/26/65,NA,2157.74,2644.789,NA,NA,,,,,,,
2/27/65,NA,1976.513,2299.324,NA,NA,,,,,,,
2/28/65,NA,2333.304,2506.037,NA,NA,,,,,,,
3/1/65,NA,2149.245,2177.562,NA,NA,,,,,,,
